NAME,SUB,ID,POP,DEM,REP,SHARE,VC,RATE,YEAR
"Abilene, TX Metro Area",abilene,10180,176579,16321,51219,100,458,0.259373991,2019
"Akron, OH Metro Area",akron,10420,702219,187329,170823,100,1782,0.253766987,2019
"Albany, GA Metro Area",albanyga,10500,148922,33897,31282,100,790,0.530479043,2019
"Albany-Lebanon, OR Metro Area",albanyor,10540,128610,26512,43486,100,70,0.054428116,2019
"Albany-Schenectady-Troy, NY Metro Area",albany,10580,899262,256724,188930,100,736,0.081844891,2019
"Albuquerque, NM Metro Area",albuquerque,10740,916528,250952,172445,100,7596,0.828779917,2019
"Alexandria, LA Metro Area",centrallouisiana,10780,152192,20632,46464,100,732,0.480971405,2019
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",lehighvalley,10900,861889,219488,224866,100,471,0.054647408,2019
"Altoona, PA Metro Area",altoona,11020,122822,17636,45306,100,264,0.214945205,2019
"Amarillo, TX Metro Area",amarillo,11100,268761,23176,78347,100,1447,0.538396568,2019
"Ames, IA Metro Area",ames,11180,125252,35478,29035,100,135,0.10778271,2019
"Anchorage, AK Metro Area",anchorage,11260,398328,85169,110526,100,3581,0.899007853,2019
"Ann Arbor, MI Metro Area",annarbor,11460,372258,157136,56241,100,309,0.083006947,2019
"Anniston-Oxford, AL Metro Area",oxfordal,11500,116441,15216,35101,100,646,0.554787403,2018
"Appleton, WI Metro Area",appleton,11540,243147,59783,76541,100,206,0.084722411,2019
"Asheville, NC Metro Area",asheville,11700,469015,141771,133257,100,695,0.148182894,2019
"Athens-Clarke County, GA Metro Area",athens,12020,215415,50067,47963,100,770,0.357449574,2017
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",atlanta,12060,6089815,1684934,1203788,100,13276,0.218003338,2017
"Atlantic City-Hammonton, NJ Metro Area",atlanticcity,12100,274534,73808,64438,100,323,0.117653915,2019
"Auburn-Opelika, AL Metro Area",opelika,12220,174241,27860,42221,100,240,0.137740256,2018
"Augusta-Richmond County, GA-SC Metro Area",augusta,12260,611000,136387,148135,100,1548,0.253355155,2017
"Austin-Round Rock-Georgetown, TX Metro Area",austin,12420,2283371,661325,377293,100,3953,0.173121232,2019
"Bakersfield, CA Metro Area",bakersfield,12540,909235,133366,164484,100,1766,0.194229215,2019
"Baltimore-Columbia-Towson, MD Metro Area",baltimore,12580,2844510,878185,507676,100,11101,0.390260537,2019
"Bangor, ME Metro Area",bangor,12620,152199,37713,44825,100,35,0.022996209,2019
"Barnstable Town, MA Metro Area",capecod,12700,228996,91994,55311,100,178,0.077730615,2019
"Baton Rouge, LA Metro Area",batonrouge,12940,870569,179863,226976,100,2066,0.237316054,2019
"Battle Creek, MI Metro Area",battlecreek,12980,134310,28877,36221,100,568,0.422902241,2019
"Bay City, MI Metro Area",baycitymichigan,13020,103856,26151,33125,100,271,0.260938222,2019
"Beaumont-Port Arthur, TX Metro Area",beaumont,13140,397565,55904,100614,100,1241,0.312150214,2019
"Beckley, WV Metro Area",beckleywv,13220,115079,13045,36253,100,147,0.127738336,2018
"Bellingham, WA Metro Area",bellingham,13380,226847,83660,50489,100,251,0.110647264,2019
"Bend, OR Metro Area",bend,13460,198253,65962,55646,100,154,0.077678522,2019
